Workstream,Year,Series,FTEs,Filter By Workstream,Filter By Year,Filter By Series
FLD_EXAM,Y-2015,S-0503,23.8617586325206,FLD_EXAM,Y-2015,S-0503
FLD_EXAM,Y-2015,S-0512,948.414563104977,FLD_EXAM,Y-2015,S-0512
FLD_EXAM,Y-2015,S-0560,0.202324168281283,FLD_EXAM,Y-2015,S-0560
FLD_EXAM,Y-2015,S-0592,31.2490035645652,FLD_EXAM,Y-2015,S-0592
FLD_EXAM,Y-2015,S-0599,3.38726432667168,FLD_EXAM,Y-2015,S-0599
FLD_EXAM,Y-2015,S-0905,0.282793575603723,FLD_EXAM,Y-2015,S-0905
FLD_EXAM,Y-2015,S-0962,0.1235268749896,FLD_EXAM,Y-2015,S-0962
FLD_EXAM,Y-2015,S-0986,0.0371635012957439,FLD_EXAM,Y-2015,S-0986
FLD_EXAM,Y-2015,S-0987,0.16445472105102,FLD_EXAM,Y-2015,S-0987
FLD_EXAM,Y-2015,S-1035,0.16445472105102,FLD_EXAM,Y-2015,S-1035
FLD_EXAM,Y-2015,S-1169,0.664910315894344,FLD_EXAM,Y-2015,S-1169
FLD_EXAM,Y-2015,S-1515,0.1235268749896,FLD_EXAM,Y-2015,S-1515
FLD_EXAM,Y-2015,S-1802,0.0371635012957439,FLD_EXAM,Y-2015,S-1802
FLD_EXAM,Y-2015,S-2210,1.30604620772057,FLD_EXAM,Y-2015,S-2210
FLD_EXAM,Y-2016,S-0080,0.0838712119726882,FLD_EXAM,Y-2016,S-0080
FLD_EXAM,Y-2016,S-0201,0.035986043107262,FLD_EXAM,Y-2016,S-0201
FLD_EXAM,Y-2016,S-0203,0.035986043107262,FLD_EXAM,Y-2016,S-0203
FLD_EXAM,Y-2016,S-0260,0.035986043107262,FLD_EXAM,Y-2016,S-0260
FLD_EXAM,Y-2016,S-0301,4.07446607329997,FLD_EXAM,Y-2016,S-0301
FLD_EXAM,Y-2016,S-0303,20.2765647107992,FLD_EXAM,Y-2016,S-0303
FLD_EXAM,Y-2016,S-0304,0.236481045929652,FLD_EXAM,Y-2016,S-0304
FLD_EXAM,Y-2016,S-0305,0.852382829730469,FLD_EXAM,Y-2016,S-0305
FLD_EXAM,Y-2016,S-0313,0.0838712119726882,FLD_EXAM,Y-2016,S-0313
FLD_EXAM,Y-2016,S-0318,148.967052922762,FLD_EXAM,Y-2016,S-0318
FLD_EXAM,Y-2016,S-0322,0.360031064362822,FLD_EXAM,Y-2016,S-0322
FLD_EXAM,Y-2016,S-0326,2.31882570606119,FLD_EXAM,Y-2016,S-0326
